named_by,naming_id
Andrews (1921),221
Brown (1912),222
Ostrom (1970),223
Chure (1996),224
Owen (1868),225
Colbert (1981),226
Camp (1936),227
Perle (1979),228
Tumanova (1983),229
Turner Hwang and Norell (2007),230
Hu (1973),231
Chiappe Norell and Clark (1998),232
Eaton (1960),233
Ji Ji Lü and Yuan (2007),234
Xu Wang and Wu (1999),235
Ji and Ji (1996),236
Xu Norell Wang Makovicky and Wu (2002),237
Gao (1992),238
Xu Zhang Tan Zhao and Tan (2006),239
Stromer (1915),240
Colbert (1970),241
Lambe (1902),242
Meyer (1857),243
Osborn (1917),244
Bunzel (1871),245
Lambe (1913),246
Sereno Beck Dutheil Gado Larsson Lyon Marcot Rauhut Sadleir Sidor Varricchio Wilson and Wilson (1998),247
Jansen (1985),248
Maleev (1952),249
Maleev (1955),250
Maleev (1956),251
Nopcsa (1900),252
Morris (1843),253
Maleev (1915),254
Gilmore (1913),255
Galton and Jensen (1979),256
Leidy (1856),257
Tumanova (1993),258
Young (1958),259
Dong Li Zhou and Zhang (1973),260
Osborn (1905),261
Kurzanov (1992),262
Novas and Puerta (1997),263
Averianov and Sues (2007),264
Kirkland Gaston and Burge (1993),265
Galton (1975),266
Raath (1972),267
He (1979),268
Dong Chang Li and Zhou (1978),269
Bai Yang and Wang (1990),270
Watanabe (1992),271
Xu Forster Clark and Mo (2006),272
Lü Li Ji Wang Zhang and Dong (2006),273
Young (1942),274
Nopcsa (1902),275
Sues (1980),276
Wolfe and Kirkland (1998),277
